<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,D,180926,00:00:00,6455.6600000
BTC-USD,D,180927,00:00:00,6680.0100000
BTC-USD,D,180928,00:00:00,6620.0100000
BTC-USD,D,180929,00:00:00,6581.0000000
BTC-USD,D,180930,00:00:00,6605.0000000
BTC-USD,D,181001,00:00:00,6572.8300000
BTC-USD,D,181002,00:00:00,6498.4600000
BTC-USD,D,181003,00:00:00,6466.0300000
BTC-USD,D,181004,00:00:00,6547.4500000
BTC-USD,D,181005,00:00:00,6593.9400000
BTC-USD,D,181006,00:00:00,6552.4300000
BTC-USD,D,181007,00:00:00,6570.0000000
BTC-USD,D,181008,00:00:00,6608.0700000
BTC-USD,D,181009,00:00:00,6589.4800000
BTC-USD,D,181010,00:00:00,6524.5600000
BTC-USD,D,181011,00:00:00,6154.6900000
BTC-USD,D,181012,00:00:00,6188.0100000
BTC-USD,D,181013,00:00:00,6196.0000000
BTC-USD,D,181014,00:00:00,6183.4900000
BTC-USD,D,181015,00:00:00,6440.4200000
BTC-USD,D,181016,00:00:00,6457.1100000
BTC-USD,D,181017,00:00:00,6443.7000000
BTC-USD,D,181018,00:00:00,6394.9600000
BTC-USD,D,181019,00:00:00,6382.9900000
BTC-USD,D,181020,00:00:00,6414.0000000
BTC-USD,D,181021,00:00:00,6415.8800000
BTC-USD,D,181022,00:00:00,6407.6500000
BTC-USD,D,181023,00:00:00,6395.1400000
BTC-USD,D,181024,00:00:00,6415.9800000
BTC-USD,D,181025,00:00:00,6395.5800000
BTC-USD,D,181026,00:00:00,6404.8700000
BTC-USD,D,181027,00:00:00,6409.1200000
BTC-USD,D,181028,00:00:00,6403.6200000
BTC-USD,D,181029,00:00:00,6266.0000000
BTC-USD,D,181030,00:00:00,6267.6300000
BTC-USD,D,181031,00:00:00,6304.1800000
BTC-USD,D,181101,00:00:00,6344.0000000
BTC-USD,D,181102,00:00:00,6349.8000000
BTC-USD,D,181103,00:00:00,6331.9600000
BTC-USD,D,181104,00:00:00,6423.2800000
BTC-USD,D,181105,00:00:00,6404.0000000
BTC-USD,D,181106,00:00:00,6448.5000000
BTC-USD,D,181107,00:00:00,6503.1200000
BTC-USD,D,181108,00:00:00,6406.2400000
BTC-USD,D,181109,00:00:00,6334.8900000
BTC-USD,D,181110,00:00:00,6347.4200000
BTC-USD,D,181111,00:00:00,6357.6000000
BTC-USD,D,181112,00:00:00,6327.8700000
BTC-USD,D,181113,00:00:00,6259.3400000
BTC-USD,D,181114,00:00:00,5605.4600000
